          #N          Min          Max          M        Min        Max    Total      Min      Max      KNN      Min      Max    Fuzzy      Min      Max    Embed      Min      Max      JIT      Min      Max
10000.000000 10000.000000 10000.000000 784.000000 784.000000 784.000000 6.441500 6.178000 6.719000 1.239600 1.095000 1.332000 0.826300 0.780000 0.928000 3.746000 3.549000 3.913000 4.119100 3.989000 4.250000
20000.000000 20000.000000 20000.000000 784.000000 784.000000 784.000000 6.170800 5.911000 6.424000 1.273500 1.139000 1.401000 0.905200 0.839000 0.974000 3.325500 3.170000 3.467000 4.084300 3.961000 4.182000
30000.000000 30000.000000 30000.000000 784.000000 784.000000 784.000000 6.349100 6.128000 6.533000 1.361700 1.300000 1.410000 0.895300 0.841000 0.939000 3.407600 3.270000 3.507000 4.112900 3.996000 4.271000
40000.000000 40000.000000 40000.000000 784.000000 784.000000 784.000000 6.910300 6.601000 7.348000 1.448400 1.307000 1.612000 0.939000 0.906000 0.987000 3.831600 3.695000 3.984000 4.111000 4.023000 4.184000
50000.000000 50000.000000 50000.000000 784.000000 784.000000 784.000000 7.562100 7.367000 7.787000 1.559700 1.504000 1.598000 0.959400 0.920000 1.028000 4.322000 4.143000 4.481000 4.101600 4.044000 4.223000
60000.000000 60000.000000 60000.000000 784.000000 784.000000 784.000000 8.357300 8.145000 8.638000 1.718000 1.670000 1.786000 0.990700 0.959000 1.078000 4.921400 4.759000 5.088000 4.087000 4.003000 4.209000
70000.000000 70000.000000 70000.000000 784.000000 784.000000 784.000000 9.355900 9.128000 9.639000 1.919100 1.852000 2.092000 1.025000 0.971000 1.117000 5.645800 5.432000 5.874000 4.074500 3.971000 4.255000
#from ../../../profs/gpumap/10_times/mnist
