          #N    Error          M    Error      JIT    Error    Total    Error    Fuzzy    Error      KNN    Error Optimize    Error    Embed    Error
10000.000000 0.000000 784.000000 0.000000 4.119100 0.096467 0.826300 0.042227 2.754400 0.100992 1.239600 0.065388 0.255000 0.023856 6.441500 0.198158
20000.000000 0.000000 784.000000 0.000000 4.084300 0.070723 0.905300 0.041580 2.034200 0.074105 1.273500 0.083151 0.555300 0.039486 6.170800 0.155515
30000.000000 0.000000 784.000000 0.000000 4.112900 0.096203 0.895300 0.030855 2.048800 0.049344 1.361700 0.038959 0.591900 0.024759 6.349100 0.122773
40000.000000 0.000000 784.000000 0.000000 4.111000 0.062953 0.939000 0.030218 2.055700 0.056610 1.448400 0.093126 1.011100 0.027622 6.910300 0.215014
50000.000000 0.000000 784.000000 0.000000 4.101600 0.056274 0.959500 0.037438 2.036100 0.067487 1.559700 0.031195 1.508500 0.051169 7.562100 0.145165
60000.000000 0.000000 784.000000 0.000000 4.087000 0.065634 0.990800 0.036252 2.014800 0.060279 1.718000 0.036935 2.120400 0.085930 8.357300 0.140447
70000.000000 0.000000 784.000000 0.000000 4.074500 0.081476 1.025000 0.054642 1.986700 0.059067 1.919100 0.067283 2.879700 0.106690 9.355900 0.171821
#from ../../../profs/gpumap/10_times/mnist
