          #N          Min          Max           M         Min         Max     Total       Min       Max      KNN      Min      Max    Fuzzy      Min      Max    Embed      Min      Max      JIT      Min      Max
10000.000000 10000.000000 10000.000000 3072.000000 3072.000000 3072.000000  6.387900  6.020000  6.601000 1.245200 1.070000 1.363000 0.824500 0.766000 0.862000 3.631900 3.501000 3.733000 4.103400 4.030000 4.155000
20000.000000 20000.000000 20000.000000 3072.000000 3072.000000 3072.000000  6.262500  6.102000  6.375000 1.472200 1.377000 1.570000 0.874900 0.844000 0.919000 3.146100 2.997000 3.325000 4.118500 4.000000 4.212000
30000.000000 30000.000000 30000.000000 3072.000000 3072.000000 3072.000000  7.038800  6.907000  7.162000 1.774400 1.662000 2.010000 0.909700 0.862000 1.007000 3.492600 3.300000 3.634000 4.115400 3.979000 4.229000
40000.000000 40000.000000 40000.000000 3072.000000 3072.000000 3072.000000  8.004600  7.856000  8.124000 2.134100 2.058000 2.309000 0.940000 0.878000 1.008000 3.980300 3.765000 4.085000 4.109300 4.029000 4.179000
50000.000000 50000.000000 50000.000000 3072.000000 3072.000000 3072.000000  9.044400  8.830000  9.272000 2.603300 2.508000 2.742000 0.946000 0.917000 1.007000 4.475000 4.366000 4.681000 4.099800 4.024000 4.201000
60000.000000 60000.000000 60000.000000 3072.000000 3072.000000 3072.000000 10.421700 10.077000 10.654000 3.124200 2.944000 3.273000 1.006800 0.955000 1.100000 5.189400 5.047000 5.395000 4.166600 4.072000 4.263000
#from ../../../profs/gpumap/10_times/cifar
