          #N          Min          Max          M        Min        Max      Total        Min        Max       KNN       Min       Max     Fuzzy       Min       Max     Embed       Min       Max       JIT       Min       Max
10000.000000 10000.000000 10000.000000 784.000000 784.000000 784.000000  47.365100  46.136000  48.655000  6.086100  5.890000  6.285000 10.886900 10.734000 11.074000 29.737300 28.326000 31.074000 12.718100 12.512000 12.855000
20000.000000 20000.000000 20000.000000 784.000000 784.000000 784.000000  51.405700  50.138000  53.332000  9.819200  9.500000 10.176000 15.637600 15.185000 16.225000 24.848500 23.708000 26.804000 12.617800 12.455000 12.808000
30000.000000 30000.000000 30000.000000 784.000000 784.000000 784.000000  72.075900  70.833000  73.874000 14.105200 13.539000 14.797000 20.605000 20.094000 21.478000 36.133400 34.664000 36.965000 12.765600 12.527000 13.062000
40000.000000 40000.000000 40000.000000 784.000000 784.000000 784.000000  92.438800  91.424000  93.412000 18.407300 17.629000 19.183000 24.963000 24.595000 25.709000 47.378000 47.161000 47.677000 12.556200 12.423000 12.664000
50000.000000 50000.000000 50000.000000 784.000000 784.000000 784.000000 112.486700 111.572000 113.791000 21.998100 21.446000 22.957000 29.786100 29.155000 30.309000 58.918700 58.407000 59.578000 12.591500 12.464000 12.755000
60000.000000 60000.000000 60000.000000 784.000000 784.000000 784.000000 134.204400 132.458000 136.177000 26.890200 25.932000 28.474000 34.195100 33.501000 35.077000 70.891200 70.208000 72.160000 12.454600 12.327000 12.571000
70000.000000 70000.000000 70000.000000 784.000000 784.000000 784.000000 156.444700 155.100000 158.538000 31.342000 30.891000 32.476000 38.798100 38.499000 39.046000 83.954200 83.207000 85.958000 12.542800 12.459000 12.643000
#from ../../../profs/umap/10_times/mnist
