          #N          Min          Max           M         Min         Max      Total        Min        Max       KNN       Min       Max     Fuzzy       Min       Max     Embed       Min       Max       JIT       Min       Max
10000.000000 10000.000000 10000.000000 3072.000000 3072.000000 3072.000000  58.642300  56.347000  60.174000 13.541800 11.688000 14.635000 10.799200 10.499000 11.111000 33.356900 32.708000 34.127000 12.622400 12.230000 12.963000
20000.000000 20000.000000 20000.000000 3072.000000 3072.000000 3072.000000  71.318900  67.565000  73.057000 26.621600 23.890000 28.245000 15.409600 14.997000 15.912000 27.775000 26.873000 29.105000 12.613800 12.370000 12.997000
30000.000000 30000.000000 30000.000000 3072.000000 3072.000000 3072.000000 101.749600  97.559000 104.425000 39.077900 35.832000 41.512000 20.018100 19.569000 20.361000 40.608700 39.614000 42.659000 12.499500 12.258000 12.763000
40000.000000 40000.000000 40000.000000 3072.000000 3072.000000 3072.000000 132.673600 125.761000 136.148000 52.395600 46.184000 55.802000 24.680400 23.949000 25.528000 53.157000 52.329000 54.419000 12.468400 12.276000 12.690000
50000.000000 50000.000000 50000.000000 3072.000000 3072.000000 3072.000000 171.964300 166.172000 178.264000 69.986400 66.559000 74.353000 29.958800 28.992000 31.592000 68.934900 65.963000 71.248000 12.745000 12.410000 13.246000
60000.000000 60000.000000 60000.000000 3072.000000 3072.000000 3072.000000 202.287700 192.601000 215.425000 82.768900 75.791000 89.715000 34.303700 32.625000 35.632000 81.591900 78.796000 86.610000 12.432300 12.033000 13.054000
#from ../../../profs/umap/10_times/cifar
