          #N    Error          M    Error      Total    Error       KNN    Error     Fuzzy    Error     Embed    Error       JIT    Error
10000.000000 0.000000 784.000000 0.000000  47.365100 0.804594  6.086100 0.114618 10.886900 0.118595 29.737300 0.948595 12.718100 0.122919
20000.000000 0.000000 784.000000 0.000000  51.405700 0.880093  9.819200 0.282161 15.637600 0.361362 24.848500 0.874967 12.617800 0.135328
30000.000000 0.000000 784.000000 0.000000  72.075900 0.918769 14.105200 0.393641 20.605000 0.513005 36.133400 0.877050 12.765600 0.178619
40000.000000 0.000000 784.000000 0.000000  92.438800 0.652204 18.407300 0.532252 24.963000 0.323759 47.378000 0.202625 12.556200 0.086916
50000.000000 0.000000 784.000000 0.000000 112.486700 0.737370 21.998100 0.463758 29.786100 0.349965 58.918700 0.317291 12.591500 0.081762
60000.000000 0.000000 784.000000 0.000000 134.204400 1.347774 26.890200 0.959839 34.195100 0.502007 70.891200 0.511546 12.454600 0.061471
70000.000000 0.000000 784.000000 0.000000 156.444700 1.025893 31.342000 0.444266 38.798100 0.223715 83.954200 0.805353 12.542800 0.057160
#from ../../../profs/umap/10_times/mnist
